id,sender,count,average_response_time
management/ea225295-fa2a-4a64-a908-229f0a69f4e7,charging/e5901821-aa8f-4094-bc0b-2fbfd6ee5cda,1,1
management/a0838a0a-91f5-4bed-a2d9-afe3c9c22d2b,charging/e5901821-aa8f-4094-bc0b-2fbfd6ee5cda,1,0
management/cc77e858-ddc7-4f60-af24-934044fa2741,charging/e5901821-aa8f-4094-bc0b-2fbfd6ee5cda,1,1
management/f9e2bb9e-64ca-4d3e-8229-18c36c4aed93,charging/e5901821-aa8f-4094-bc0b-2fbfd6ee5cda,1,0
management/5b029320-5cb4-4817-a816-bfb605e429f9,charging/e5901821-aa8f-4094-bc0b-2fbfd6ee5cda,3,1
management/f8f60ea3-b305-4916-9c05-7abc49a5e3d2,charging/e5901821-aa8f-4094-bc0b-2fbfd6ee5cda,2,4
management/5fc9d459-5e10-4671-b845-95a21f6b2ec4,charging/e5901821-aa8f-4094-bc0b-2fbfd6ee5cda,1,1
