id,sender,count,average_response_time
charging/8516210e-556a-4885-a980-e7bf9eb12b2f,management/ea225295-fa2a-4a64-a908-229f0a69f4e7,2,1
charging/0e97574e-3a03-49fb-a037-70398f70363e,management/ea225295-fa2a-4a64-a908-229f0a69f4e7,2,4
charging/5d4754be-e123-423f-a7d3-25fef2032b9e,management/ea225295-fa2a-4a64-a908-229f0a69f4e7,2,1
charging/1902eee1-165f-425f-8f0d-f142da5891dd,management/ea225295-fa2a-4a64-a908-229f0a69f4e7,2,1
charging/e5901821-aa8f-4094-bc0b-2fbfd6ee5cda,management/ea225295-fa2a-4a64-a908-229f0a69f4e7,2,1
charging/431dba0f-2aca-4877-9e4b-745fb906681c,management/ea225295-fa2a-4a64-a908-229f0a69f4e7,2,4
charging/67ba1ef7-cef9-483f-9199-96b1ba74a19f,management/ea225295-fa2a-4a64-a908-229f0a69f4e7,2,1
charging/8fdae334-f7ce-4a2c-8ce1-48c9a50221a9,management/ea225295-fa2a-4a64-a908-229f0a69f4e7,2,1
charging/b7ca93de-ffa6-4538-8aa8-31c3e936b869,management/ea225295-fa2a-4a64-a908-229f0a69f4e7,4,6
charging/dc95c210-f936-4c07-a542-ac6381146c82,management/ea225295-fa2a-4a64-a908-229f0a69f4e7,2,4
