id,sender,count,average_response_time
charging/26af7b13-4a55-4e9b-91a5-4bdabc022276,management/965b0aae-287c-402d-8d71-74ddd4964d7a,1,11
charging/5a433f62-c173-4d37-9ef7-57940531a04a,management/965b0aae-287c-402d-8d71-74ddd4964d7a,1,4
charging/970f174d-281b-4472-9100-f47b8506ede5,management/965b0aae-287c-402d-8d71-74ddd4964d7a,1,3
charging/5f006e11-1851-48fd-9251-44ec1ba8770a,management/965b0aae-287c-402d-8d71-74ddd4964d7a,1,3
charging/50e62e17-57c5-4e66-8108-c97e8730945c,management/965b0aae-287c-402d-8d71-74ddd4964d7a,1,24
charging/7fb5d813-37cc-498c-8249-46622db49818,management/965b0aae-287c-402d-8d71-74ddd4964d7a,1,24
charging/640d3177-fab3-48a6-b697-57d47cc72314,management/965b0aae-287c-402d-8d71-74ddd4964d7a,1,12
charging/fd1453d1-a064-495c-b43e-f86dbbb86882,management/965b0aae-287c-402d-8d71-74ddd4964d7a,2,4
charging/3ef67e24-f124-44a8-8e79-587e8c6cf109,management/965b0aae-287c-402d-8d71-74ddd4964d7a,3,14
charging/326da57c-f3c1-440e-842d-35080dd9fdff,management/965b0aae-287c-402d-8d71-74ddd4964d7a,1,3
