id,sender,count,average_response_time
management/ea225295-fa2a-4a64-a908-229f0a69f4e7,charging/b7ca93de-ffa6-4538-8aa8-31c3e936b869,1,1
management/a0838a0a-91f5-4bed-a2d9-afe3c9c22d2b,charging/b7ca93de-ffa6-4538-8aa8-31c3e936b869,1,1
management/cc77e858-ddc7-4f60-af24-934044fa2741,charging/b7ca93de-ffa6-4538-8aa8-31c3e936b869,3,4
management/f9e2bb9e-64ca-4d3e-8229-18c36c4aed93,charging/b7ca93de-ffa6-4538-8aa8-31c3e936b869,2,2
management/5b029320-5cb4-4817-a816-bfb605e429f9,charging/b7ca93de-ffa6-4538-8aa8-31c3e936b869,1,10
management/f8f60ea3-b305-4916-9c05-7abc49a5e3d2,charging/b7ca93de-ffa6-4538-8aa8-31c3e936b869,1,6
management/5fc9d459-5e10-4671-b845-95a21f6b2ec4,charging/b7ca93de-ffa6-4538-8aa8-31c3e936b869,1,10
